<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160224,000000,1.1016000,1.1016000,1.0960500,1.0960500,9651000
20160225,000000,1.1032000,1.1032000,1.1008000,1.1032000,6975000
20160226,000000,1.1051000,1.1065000,1.1006000,1.1024000,13132000
20160229,000000,1.0943500,1.0956000,1.0881000,1.0883500,13054000
20160301,000000,1.0890000,1.0899000,1.0851000,1.0876500,6201000
20160302,000000,1.0852000,1.0876000,1.0849000,1.0849000,3056000
20160303,000000,1.0864000,1.0880500,1.0860000,1.0880500,5037000
20160304,000000,1.0946500,1.0987500,1.0934500,1.0980000,7685000
20160309,000000,1.0980000,1.0985500,1.0958500,1.0970000,4997000
20160310,000000,1.0973000,1.0982500,1.0961000,1.0975000,16220000
20160311,000000,1.1173500,1.1173500,1.1084000,1.1100000,9941000
20160314,000000,1.1158000,1.1160000,1.1099500,1.1099500,10373000
20160315,000000,1.1103500,1.1120500,1.1075500,1.1096500,10492000
20160316,000000,1.1092000,1.1096000,1.1079500,1.1087000,6077000
20160317,000000,1.1234500,1.1337500,1.1234500,1.1326000,8295000
20160318,000000,1.1292000,1.1292000,1.1259000,1.1277500,7925000
20160321,000000,1.1265500,1.1282500,1.1238500,1.1276500,8642000
20160322,000000,1.1248000,1.1250000,1.1192000,1.1219500,13198000
20160323,000000,1.1189500,1.1198000,1.1180500,1.1192000,15511000
20160324,000000,1.1161500,1.1180000,1.1146500,1.1157500,16019000
20160329,000000,1.1188500,1.1214000,1.1175000,1.1198500,66114000
20160330,000000,1.1304000,1.1333500,1.1304000,1.1330500,1706000
20160331,000000,1.1330500,1.1393500,1.1325000,1.1393500,4296000
20160401,000000,1.1381500,1.1425000,1.1377000,1.1425000,5109000
20160404,000000,1.1387000,1.1393000,1.1360000,1.1375500,70718000
20160405,000000,1.1371000,1.1371000,1.1354000,1.1363000,5355000
20160406,000000,1.1360500,1.1368500,1.1343000,1.1343000,4676000
20160407,000000,1.1440000,1.1443000,1.1375000,1.1380500,4471000
20160408,000000,1.1362500,1.1391500,1.1351500,1.1361500,4569000
20160411,000000,1.1413000,1.1413000,1.1378500,1.1399000,13640000
20160412,000000,1.1423500,1.1460500,1.1396500,1.1413000,13873000
20160413,000000,1.1346500,1.1361000,1.1300500,1.1302500,5175000
20160414,000000,1.1255000,1.1270500,1.1239500,1.1257000,66144000
20160415,000000,1.1246000,1.1286000,1.1246000,1.1281000,3357000
20160418,000000,1.1292000,1.1308000,1.1292000,1.1304500,4922000
20160419,000000,1.1333500,1.1347000,1.1320000,1.1341000,17265000
20160420,000000,1.1356000,1.1380000,1.1352500,1.1380000,13090000
20160421,000000,1.1298500,1.1342000,1.1286500,1.1328500,13400000
20160422,000000,1.1284500,1.1285000,1.1262000,1.1266000,8923000
20160425,000000,1.1233000,1.1260000,1.1233000,1.1250500,6436000
20160426,000000,1.1260500,1.1297500,1.1260500,1.1273000,11089000
20160427,000000,1.1325000,1.1331500,1.1303000,1.1303000,5402000
20160428,000000,1.1360500,1.1364000,1.1345000,1.1351000,7417000
20160429,000000,1.1401500,1.1409000,1.1375000,1.1385500,21958000
20160504,000000,1.1492000,1.1550000,1.1471500,1.1504000,14586000
20160505,000000,1.1474500,1.1478000,1.1420000,1.1431500,9009000
